iter	RMSE
148	2.32316354
149	2.320189329
150	2.319444266
151	2.318262571
152	2.310383758
153	2.308699888
154	2.308109837
155	2.307341789
156	2.305793029
157	2.302242295
158	2.30055613
159	2.299161732
160	2.296076611
161	2.295500741
162	2.294914829
163	2.292112792
164	2.291606318
165	2.290274798
166	2.289270511
167	2.288358754
168	2.283390568
169	2.283152342
170	2.281422137
171	2.28097183
172	2.278786456
173	2.277504406
174	2.275643628
175	2.274750425
176	2.27289004
177	2.272144316
178	2.268289113
179	2.263431667
180	2.261299209
181	2.259367511
182	2.258886975
183	2.257389638
184	2.255376595
185	2.252404961
186	2.249937839
187	2.249057741
188	2.247503701
189	2.246689859
190	2.246156074
191	2.245077265
192	2.24335386
193	2.242451639
194	2.240442068
195	2.238431249
196	2.236696804
197	2.234513863
198	2.23307509
199	2.231334064
200	2.23115449
201	2.229465827
202	2.227701779
203	2.227312094
204	2.225279242
205	2.220163303
206	2.219543946
207	2.218686249
208	2.217408137
209	2.217049399
210	2.214969812
211	2.213917237
212	2.212696227
213	2.21134417
214	2.209566215
215	2.208514292
216	2.206899119
217	2.205082494
218	2.203542527
219	2.201370877
220	2.199966983
221	2.197932961
222	2.194133193
223	2.193933733
224	2.19390192
225	2.191755426
226	2.191351112
227	2.190760954
228	2.188917108
229	2.186934964
230	2.186304631
231	2.185618725
232	2.185061747
233	2.183558181
234	2.182838243
235	2.180975865
236	2.179596982
237	2.17814747
238	2.177814215
239	2.175268396
240	2.174008837
241	2.171957843
242	2.171274746
243	2.171022116
244	2.170753218
245	2.169896638
246	2.169796319
247	2.169492884
248	2.169050697
249	2.168334308
250	2.166635508
251	2.166616048
252	2.163784659
253	2.162928757
254	2.16241067
255	2.16081155
256	2.158818933
257	2.158117915
258	2.156672974
259	2.155078607
260	2.154515751
261	2.15335062
262	2.152538481
263	2.151100363
264	2.148618978
265	2.147057032
266	2.14669295
267	2.144660917
268	2.143685619
269	2.141279602
270	2.140342417
271	2.139457327
272	2.138750782
273	2.138098419
274	2.137849093
275	2.136747018
276	2.136356575
277	2.133000461
278	2.130149602
279	2.130123665
280	2.127319084
281	2.126642387
282	2.126213044
283	2.125645874
284	2.125392292
285	2.124280614
286	2.124080131
287	2.123505582
288	2.121563243
289	2.121178535
290	2.120687458
291	2.116167949
292	2.115420267
293	2.115051566
294	2.114515522
295	2.112548031
296	2.112075138
297	2.110195441
298	2.107975224
299	2.106944023
300	2.105422004
301	2.103791535
302	2.103363025
303	2.102880881
304	2.100833492
305	2.099830317
306	2.098930422
307	2.094373128
308	2.09087929
309	2.088938901
310	2.088802446
311	2.087349015
312	2.086651087
313	2.084493129
314	2.083895488
315	2.080965311
316	2.079368896
317	2.078569208
318	2.07632598
319	2.075499103
320	2.073619919
321	2.073166674
322	2.072843852
323	2.070476421
324	2.070274797
325	2.068744872
326	2.068053728
327	2.065198978
328	2.062170363
329	2.061107073
330	2.058914161
331	2.056986738
332	2.054438969
333	2.052574388
334	2.050514915
335	2.049624848
336	2.048978184
337	2.048652036
338	2.047285303
339	2.046184231
340	2.045297905
341	2.044748156
342	2.044231922
343	2.04300151
344	2.040537848
345	2.040304723
346	2.039738052
347	2.039562831
348	2.038226797
349	2.036886174
350	2.036104868
351	2.034737814
352	2.034286618
353	2.033098556
354	2.032494935
355	2.031552942
356	2.029643243
357	2.028033765
358	2.0268842
359	2.026550058
360	2.0247257
361	2.024253355
362	2.02167113
363	2.021333581
364	2.020967698
365	2.020761387
366	2.017399852
367	2.015319278
368	2.014677729
369	2.012941117
370	2.012160411
371	2.008996905
372	2.008512342
373	2.007554251
374	2.007246884
375	2.006298311
376	2.00500396
377	2.004596513
378	2.003558983
379	2.002521196
380	2.000604468
381	1.99917994
382	1.997965043
383	1.99748754
384	1.996465975
385	1.99637783
386	1.995881641
387	1.993151696
388	1.991607698
389	1.989092056
390	1.988774339
391	1.988288434
392	1.987675618
393	1.98668139
394	1.984528681
395	1.984512195
396	1.982827591
397	1.980427137
398	1.979470258
399	1.977762432
