iter	RMSE
0	2.804786513
1	2.79583377
2	2.781794938
3	2.768927344
4	2.757958991
5	2.748447502
6	2.735709837
7	2.729102036
8	2.719986517
9	2.709572862
10	2.701507746
11	2.694009057
12	2.687633289
13	2.682227477
14	2.677539146
15	2.672829314
16	2.670298572
17	2.664821983
18	2.658700943
19	2.654865986
20	2.646173354
21	2.642109441
22	2.639433193
23	2.63711642
24	2.632889187
25	2.631172549
26	2.629243296
27	2.627187131
28	2.624302996
29	2.619918018
30	2.614145362
31	2.60978595
32	2.606706665
33	2.599446904
34	2.596550407
35	2.593340373
36	2.590240592
37	2.586254066
38	2.583898909
39	2.581643814
40	2.577874366
41	2.576336988
42	2.573759903
43	2.571817978
44	2.569191259
45	2.565108245
46	2.560569721
47	2.555662639
48	2.548572058
49	2.547048813
50	2.545597623
51	2.544822671
52	2.543012526
53	2.542775394
54	2.540972079
55	2.53948067
56	2.536833574
57	2.534087995
58	2.532635389
59	2.530075966
60	2.524755958
61	2.521966929
62	2.521735073
63	2.521251918
64	2.519455362
65	2.517489087
66	2.515223768
67	2.50894645
68	2.507886556
69	2.507794817
70	2.505266122
71	2.504069877
72	2.499833362
73	2.496787443
74	2.487068241
75	2.485189006
76	2.484017281
77	2.482779574
78	2.481331453
79	2.473743453
80	2.470238222
81	2.468910501
82	2.467896604
83	2.467315729
84	2.467220888
85	2.465982073
86	2.464382985
87	2.460651509
88	2.457694622
89	2.456820433
90	2.455823963
91	2.454015453
92	2.45314406
93	2.449691286
94	2.446752296
95	2.443649534
96	2.440479635
97	2.434990692
98	2.434457559
99	2.431696997
100	2.430509804
101	2.428465186
102	2.423452522
103	2.421434349
104	2.418144397
105	2.417378516
106	2.416529318
107	2.415274158
108	2.414932488
109	2.413175293
110	2.410798024
111	2.410437996
112	2.408259639
113	2.407111165
114	2.406501646
115	2.405705089
116	2.404834412
117	2.401536364
118	2.400497079
119	2.398740501
120	2.396619165
121	2.394334654
122	2.391962485
123	2.387071982
124	2.385870605
125	2.382088416
126	2.381072048
127	2.380423588
128	2.376149805
129	2.374581544
130	2.373258625
131	2.371368077
132	2.365718314
133	2.362130028
134	2.358751544
135	2.356697479
136	2.356428105
137	2.353519309
138	2.352291786
139	2.349992238
140	2.347874013
141	2.333497267
142	2.33131935
143	2.331306956
144	2.328350291
145	2.32565278
146	2.325221023
147	2.324373033
